телевизор	televiziyon, ﺗﻠﻮﯾﺰﯾﻮن
магнитофон	zabt-e sowt, ﺿﺒﻂ ﺻﻮت
видеомагнитофон	video, وﯾﺪﺋﻮ
приёмник	rādiyo, رادﯾﻮ
плеер	paxš konande, ﭘﺨﺶ ﮐﻨﻨﺪه
видеопроектор	video porožektor, وﯾﺪﺋﻮ ﭘﺮوژﮐﺘﻮر
домашний кинотеатр	sinamā-ye xānegi, ﺳﯿﻨﻤﺎی ﺧﺎﻧﮕﯽ
проигрыватель DVD	paxš konande-ye di vi di, ﭘﺨﺶ ﮐﻨﻨﺪه دی وی دی
усилитель	āmpli-fāyer, آﻣﭙﻠﯽ ﻓﺎﯾﺮ
игровая приставка	konsul-e bāzi, ﮐﻨﺴﻮل ﺑﺎزی
видеокамера	durbin-e filmbardāri, دورﺑﯿﻦ ﻓﯿﻠﻤﺒﺮداری
фотоаппарат	durbin-e akkāsi, دورﺑﯿﻦ ﻋﮑﺎﺳﯽ
цифровой фотоаппарат	durbin-e dijitāl, دورﺑﯿﻦ دﯾﺠﯿﺘﺎل
пылесос	jāru barqi, ﺟﺎرو ﺑﺮﻗﯽ
утюг	oto, اﺗﻮ
гладильная доска	miz-e otu, ﻣﯿﺰ اﺗﻮ
телефон	telefon, ﺗﻠﻔﻦ
мобильный телефон	telefon-e hamrāh, ﺗﻠﻔﻦ ﻫﻤﺮاه
машинка (пишущая)	māšin-e tahrir, ﻣﺎﺷﯿﻦ ﺗﺤﺮﯾﺮ
машинка (швейная)	čarx-e xayyāti, ﭼﺮخ ﺧﯿﺎﻃﯽ
микрофон	mikrofon, ﻣﯿﮑﺮوﻓﻮن
наушники	guši, ﮔﻮﺷﯽ
пульт	kontorol az rāh-e dur, ﮐﻨﺘﺮل از راه دور
компакт-диск	si-di, ﺳﯿﺪی
кассета	kāst, ﮐﺎﺳﺖ
пластинка(муз.)	safhe-ye gerāmāfon, ﺻﻔﺤﻪ ﮔﺮاﻣﺎﻓﻮن
