река	rudxāne, رودﺧﺎﻧﻪ
источник, родник	češme, ﭼﺸﻤﻪ
русло	bastar, ﺑﺴﺘﺮ
бассейн (реки)	howze, ﺣﻮﺿﻪ
впадать в … (о реке)	rixtan, رﯾﺨﺘﻦ
приток	enšeʿāb, اﻧﺸﻌﺎب
берег	sāhel, ﺳﺎﺣﻞ
течение	jaryān, ﺟﺮﯾﺎن
вниз по течению	be samt-e pāin-e rudxāne, ﺑﻪ ﺳﻤﺖ ﭘﺎﺋﯿﻦ رودﺧﺎﻧﻪ
вверх по течению	be samt-e bālā-ye rudxāne, ﺑﻪ ﺳﻤﺖ ﺑﺎﻻی رودﺧﺎﻧﻪ
наводнение	seyl, ﺳﯿﻞ
половодье	toqyān, ﻃﻐﯿﺎن
разливаться	toqyān kardan, ﻃﻐﯿﺎن ﮐﺮدن
затоплять	toqyān kardan, ﻃﻐﯿﺎن ﮐﺮدن
мель	tangāb, ﺗﻨﮕﺎب
порог	tondāb, ﺗﻨﺪآب
плотина	sad, ﺳﺪ
канал	kānāl, ﮐﺎﻧﺎل
водохранилище	maxzan-e āb, ﻣﺨﺰن آب
шлюз	ābgir, آﺑﮕﯿﺮ
водоём	maxzan-e āb, ﻣﺨﺰن آب
болото	bātlāq, ﺑﺎﺗﻼق
трясина	lajan zār, ﻟﺠﻦ زار
водоворот	gerdāb, ﮔﺮداب
ручей	ravad, رود
питьевая	āšāmidani, آﺷﺎﻣﯿﺪﻧﯽ
пресная (о воде)	širin, ﺷﯿﺮﯾﻦ
лёд	yax, ﯾﺦ
замёрзнуть (о реке)	yax bastan, ﯾﺦ ﺑﺴﺘﻦ
