гроза	tufān, ﻃﻮﻓﺎن
молния	barq, ﺑﺮق
сверкать	barq zadan, ﺑﺮق زدن
гром	raʿd, رﻋﺪ
греметь (о громе)	qorridan, ﻏﺮﯾﺪن
гремит гром	raʿd mizanad, رﻋﺪ ﻣﯽ زﻧﺪ
град	tagarg, ﺗﮕﺮگ
идёт град	tagarg mibārad, ﺗﮕﺮگ ﻣﯽ ﺑﺎرد
затопить (залить водой)	toqyān kardan, ﻃﻐﯿﺎن ﮐﺮدن
наводнение	seyl, ﺳﯿﻞ
землетрясение	zamin-larze, زﻣﯿﻦ ﻟﺮزه
толчок (подземный)	tekān, ﺗﮑﺎن
эпицентр	kānun-e zaminlarze, ﮐﺎﻧﻮن زﻣﯿﻦ ﻟﺮزه
извержение	favarān, ﻓﻮران
лава	godāze, ﮔﺪازه
смерч, торнадо	gerdbād, ﮔﺮدﺑﺎد
тайфун	tufān, ﻃﻮﻓﺎن
ураган	tufān, ﻃﻮﻓﺎن
буря	tufān, ﻃﻮﻓﺎن
цунами	sonāmi, ﺳﻮﻧﺎﻣﯽ
циклон	gerdbād, ﮔﺮدﺑﺎد
непогода	havā-ye bad, ﻫﻮای ﺑﺪ
пожар	ātaš suzi, آﺗﺶ ﺳﻮزی
катастрофа	balā-ye tabiʿi, ﺑﻼی ﻃﺒﯿﻌﯽ
метеорит	sang-e āsmāni, ﺳﻨﮓ آﺳﻤﺎﻧﯽ
лавина	bahman, ﺑﻬﻤﻦ
обвал (снежный)	bahman, ﺑﻬﻤﻦ
метель	kulāk, ﮐﻮﻻک
вьюга	barf-o burān, ﺑﺮف و ﺑﻮران
