лещ	māhi-ye sim, ﻣﺎﻫﯽ ﺳﯿﻢ
карп	kapur, ﮐﭙﻮر
окунь	māhi-e luti, ﻣﺎﻫﯽ ﻟﻮﺗﯽ
сом	gorbe-ye māhi, ﮔﺮﺑﻪ ﻣﺎﻫﯽ
щука	ordak māhi, اردک ﻣﺎﻫﯽ
лосось	māhi-ye salemon, ﻣﺎﻫﯽ ﺳﺎﻟﻤﻮن
осётр	māhi-ye xāviār, ﻣﺎﻫﯽ ﺧﺎوﯾﺎر
сельдь	māhi-ye šur, ﻣﺎﻫﯽ ﺷﻮر
сёмга	sālmon-e atlāntik, ﺳﺎﻟﻤﻮن اﺗﻼﻧﺘﯿﮏ
скумбрия	māhi-ye esqumeri, ﻣﺎﻫﯽ اﺳﻘﻮﻣﺮی
камбала	sofre māhi, ﺳﻔﺮه ﻣﺎﻫﯽ
судак	suf, ﺳﻮف
треска	māhi-ye rowqan, ﻣﺎﻫﯽ روﻏﻦ
тунец	tan māhi, ﺗﻦ ﻣﺎﻫﯽ
форель	māhi-ye qezelālā, ﻣﺎﻫﯽ ﻗﺰل آﻻ
угорь	mārmāhi, ﻣﺎرﻣﺎﻫﯽ
электрический скат	partomahiye barqi, ﭘﺮﺗﻮﻣﺎﻫﯽ ﺑﺮﻗﯽ
мурена	mārmāhi, ﻣﺎرﻣﺎﻫﻰ
пиранья	pirānā, ﭘﯿﺮاﻧﺎ
акула	kuse-ye māhi, ﮐﻮﺳﻪ ﻣﺎﻫﯽ
дельфин	delfin, دﻟﻔﯿﻦ
кит	nahang, ﻧﻬﻨﮓ
краб	xarčang, ﺧﺮﭼﻨﮓ
медуза	arus-e daryāyi, ﻋﺮوس درﯾﺎﯾﯽ
осьминог	hašt pā, ﻫﺸﺖ ﭘﺎ
морская звезда	setāre-ye daryāyi, ﺳﺘﺎره درﯾﺎﯾﯽ
морской ёж	xārpošt-e daryāyi, ﺧﺎرﭘﺸﺖ درﯾﺎﯾﯽ
морской конёк	asb-e daryāyi, اﺳﺐ درﯾﺎﯾﯽ
устрица	sadaf-e xorāki, ﺻﺪف ﺧﻮراﮐﯽ
креветка	meygu, ﻣﯿﮕﻮ
омар	xarčang-e daryāyi, ﺧﺮﭼﻨﮓ درﯾﺎﯾﯽ
лангуст	xarčang-e xārdār, ﺧﺮﭼﻨﮓ ﺧﺎردار
