дерево	deraxt, درﺧﺖ
лиственное	barg riz, ﺑﺮگ رﯾﺰ
хвойное	maxrutiyān, ﻣﺨﺮوﻃﯿﺎن
вечнозелёное	hamiše sabz, ﻫﻤﯿﺸﻪ ﺳﺒﺰ
яблоня	deraxt-e sib, درﺧﺖ ﺳﯿﺐ
груша	golābi, ﮔﻼﺑﯽ
черешня	gilās, ﮔﯿﻼس
вишня	ālbālu, آﻟﺒﺎﻟﻮ
слива	ālu, آﻟﻮ
берёза	tus, ﺗﻮس
дуб	balut, ﺑﻠﻮط
липа	zirfun, زﯾﺮﻓﻮن
осина	senowbar-e larzān, ﺻﻨﻮﺑﺮ ﻟﺮزان
клён	afrā, اﻓﺮا
ель	senowbar, ﺻﻨﻮﺑﺮ
сосна	kāj, ﮐﺎج
лиственница	senowbar-e ārāste, ﺻﻨﻮﺑﺮ آراﺳﺘﻪ
пихта	šāh deraxt, ﺷﺎه درﺧﺖ
кедр	sedr, ﺳﺪر
тополь	sepidār, ﺳﭙﯿﺪار
рябина	zabān gonješk-e kuhi, زﺑﺎن ﮔﻨﺠﺸﮏ ﮐﻮﻫﯽ
ива	bid, ﺑﯿﺪ
ольха	tuskā, ﺗﻮﺳﮑﺎ
бук	rāš, راش
вяз	nārvan-e qermez, ﻧﺎرون ﻗﺮﻣﺰ
ясень	zabān-e gonješk, زﺑﺎن ﮔﻨﺠﺸﮏ
каштан	šāh balut, ﺷﺎه ﺑﻠﻮط
магнолия	māgnoliyā, ﻣﺎﮔﻨﻮﻟﯿﺎ
пальма	naxl, ﻧﺨﻞ
кипарис	sarv, ﺳﺮو
мангровое дерево	karnā, ﮐﺮﻧﺎ
баобаб	bāobāb, ﺑﺎﺋﻮﺑﺎب
эвкалипт	okaliptus, اوﮐﺎﻟﯿﭙﺘﻮس
секвойя	sorx-e čub, ﺳﺮخ ﭼﻮب
