Казахстан	qazzāqestān, ﻗﺰاﻗﺴﺘﺎن
Камбоджа	kāmboj, ﮐﺎﻣﺒﻮج
Канада	kānādā, ﮐﺎﻧﺎدا
Кения	keniyā, ﮐﻨﯿﺎ
Кипр	qebres, ﻗﺒﺮس
Китай	čin, ﭼﯿﻦ
Колумбия	kolombiyā, ﮐﻠﻤﺒﯿﺎ
Куба	kubā, ﮐﻮﺑﺎ
Кувейт	koveyt, ﮐﻮﯾﺖ
Кыргызстан	qerqizestān, ﻗﺮﻗﯿﺰﺳﺘﺎن
Лаос	lāus, ﻻﺋﻮس
Латвия	letuni, ﻟﺘﻮﻧﯽ
Ливан	lobnān, ﻟﺒﻨﺎن
Ливия	libi, ﻟﯿﺒﯽ
Литва	litvāni, ﻟﯿﺘﻮاﻧﯽ
Лихтенштейн	lixteneštāyn, ﻟﯿﺨﺘﻦاﺷﺘﺎﯾﻦ
Люксембург	lokzāmborg, ﻟﻮﮐﺰاﻣﺒﻮرگ
Мадагаскар	mādāgāskār, ﻣﺎداﮔﺎﺳﮑﺎر
Македония	jomhuri-ye maqduniye, ﺟﻤﻬﻮری ﻣﻘﺪوﻧﯿﻪ
Малайзия	mālezi, ﻣﺎﻟﺰی
Мальта	mālt, ﻣﺎﻟﺖ
Марокко	marākeš, ﻣﺮاﮐﺶ
Мексика	mekzik, ﻣﮑﺰﯾﮏ
Молдова	moldāvi, ﻣﻮﻟﺪاوی
Монако	monāko, ﻣﻮﻧﺎﮐﻮ
Монголия	moqolestān, ﻣﻐﻮﻟﺴﺘﺎن
Мьянма	miyānmār, ﻣﯿﺎﻧﻤﺎر
Намибия	nāmibiyā, ﻧﺎﻣﯿﺒﯿﺎ
Непал	nepāl, ﻧﭙﺎل
Нидерланды	holand, ﻫﻠﻨﺪ
Новая Зеландия	niyuzland, ﻧﯿﻮزﻟﻨﺪ
Норвегия	norvež, ﻧﺮوژ
Объединённые	Арабские Эмираты, ibara ey-edehattom e-tārāme
ﯽﺑﺮﻋ هﺪﺤﺘﻣ تارﺎﻣا	Пакистан, nātsekāp
نﺎﺘﺴﮐﺎﭘ	Палестина, nitselef
ﻦﯿﻄﺴﻠﻓ	Панама, āmānāp
ﺎﻣﺎﻧﺎﭘ	Парагвай, eugārāp
ﻪﺋﻮﮔارﺎﭘ	Перу, vorop
وﺮﭘ	Польша, nātsehal
نﺎﺘﺴﻬﻟ	Португалия, lāqetrop
