бежать	davidan, دوﯾﺪن
бояться	tarsidan, ﺗﺮﺳﯿﺪن
брать	bardāštan, ﺑﺮداﺷﺘﻦ
быть	budan, ﺑﻮدن
видеть	didan, دﯾﺪن
владеть	sāheb budan, ﺻﺎﺣﺐ ﺑﻮدن
возражать	moxalefat kardan, ﻣﺨﺎﻟﻔﺖ ﮐﺮدن
входить (в комнату и т.п.)	vāred šodan, وارد ﺷﺪن
выбирать	entexāb kardan, اﻧﺘﺨﺎب ﮐﺮدن
выходить (из дома)	birun raftan, ﺑﯿﺮون رﻓﺘﻦ
говорить (разговаривать)	harf zadan, ﺣﺮف زدن
готовить (обед)	poxtan, ﭘﺨﺘﻦ
давать	dādan, دادن
делать	anjām dādan, اﻧﺠﺎم دادن
доверять	etminān kardan, اﻃﻤﯿﻨﺎن ﮐﺮدن
думать	fekr kardan, ﻓﮑﺮ ﮐﺮدن
жаловаться	šekāyat kardan, ﺷﮑﺎﯾﺖ ﮐﺮدن
ждать	montazer budan, ﻣﻨﺘﻈﺮ ﺑﻮدن
забывать	farāmuš kardan, ﻓﺮاﻣﻮش ﮐﺮدن
завтракать	sobhāne xordan, ﺻﺒﺤﺎﻧﻪ ﺧﻮردن
заказывать	sefāreš dādan, ﺳﻔﺎرش دادن
заканчивать	be pāyān resāndan, ﺑﻪ ﭘﺎﯾﺎن رﺳﺎﻧﺪن
замечать (увидеть)	motevajjeh šodan, ﻣﺘﻮﺟﻪ ﺷﺪن
записывать	neveštan, ﻧﻮﺷﺘﻦ
защищать (страну)	defāʾ kardan, دﻓﺎع ﮐﺮدن
звать (на помощь и т.п.)	komak xāstan, ﮐﻤﮏ ﺧﻮاﺳﺘﻦ
знать (кого-л.)	šenāxtan, ﺷﻨﺎﺧﺘﻦ
знать (что-л.)	dānestan, داﻧﺴﺘﻦ
играть	bāzi kardan, ﺑﺎزی ﮐﺮدن
идти	raftan, رﻓﺘﻦ
извинять	baxšidan, ﺑﺨﺸﯿﺪن
извиняться	ozr xāstan, ﻋﺬر ﺧﻮاﺳﺘﻦ
изменить (поменять)	avaz kardan, ﻋﻮض ﮐﺮدن
изучать	dars xāndan, درس ﺧﻮاﻧﺪن
иметь	dāštan, داﺷﺘﻦ
интересоваться	alāqe dāštan, ﻋﻼﻗﻪ داﺷﺘﻦ
информировать	āgah kardan, آﮔﺎه ﮐﺮدن
искать …	jostoju kardan, ﺟﺴﺘﺠﻮ ﮐﺮدن
