падать	oftādan, اﻓﺘﺎدن
переводить (текст)	tarjome kardan, ﺗﺮﺟﻤﻪ ﮐﺮدن
писать	neveštan, ﻧﻮﺷﺘﻦ
плавать	šenā kardan, ﺷﻨﺎ ﮐﺮدن
плакать	gerye kardan, ﮔﺮﯾﻪ ﮐﺮدن
планировать	barnāmerizi kardan, ﺑﺮﻧﺎﻣﻪ رﯾﺰی ﮐﺮدن
платить	pardāxtan, ﭘﺮداﺧﺘﻦ
поворачивать	pičidan, ﭘﯿﭽﯿﺪن
повторять	tekrār kardan, ﺗﮑﺮار ﮐﺮدن
подписывать	emzā kardan, اﻣﻀﺎ ﮐﺮدن
подсказать (отгадку)	sarnax dādan, ﺳﺮﻧﺦ دادن
показывать	nešān dādan, ﻧﺸﺎن دادن
помогать	komak kardan, ﮐﻤﮏ ﮐﺮدن
понимать	fahmidan, ﻓﻬﻤﯿﺪن
предвидеть (ожидать)	pišbini kardan, ﭘﯿﺶ ﺑﯿﻨﯽ ﮐﺮدن
предлагать	pišnahād dādan, ﭘﯿﺸﻨﻬﺎد دادن
предпочитать	tarjih dādan, ﺗﺮﺟﯿﺢ دادن
предупреждать	hošdār dādan, ﻫﺸﺪار دادن
прекращать	bas kardan, ﺑﺲ ﮐﺮدن
приглашать	daʿvat kardan, دﻋﻮت ﮐﺮدن
приезжать	residan, رﺳﯿﺪن
приказывать	farmān dādan, ﻓﺮﻣﺎن دادن
принадлежать	taʿalloq dāštan, ﺗﻌﻠﻖ داﺷﺘﻦ
пробовать (пытаться)	talāš kardan, ﺗﻼش ﮐﺮدن
продавать	foruxtan, ﻓﺮوﺧﺘﻦ
продолжать	edāme dādan, اداﻣﻪ دادن
произносить (слово)	talaffoz kardan, ﺗﻠﻔﻆ ﮐﺮدن
пропускать (занятия и т.п.)	qāyeb budan, ﻏﺎﯾﺐ ﺑﻮدن
просить	xāstan, ﺧﻮاﺳﺘﻦ
прощать	baxšidan, ﺑﺨﺸﯿﺪن
прятать	penhān kardan, ﭘﻨﻬﺎن ﮐﺮدن
путать (ошибаться)	qāti kardan, ﻗﺎﻃﯽ ﮐﺮدن
работать	kār kardan, ﮐﺎر ﮐﺮدن
разрешать	ejāze dādan, اﺟﺎزه دادن
рассчитывать на …	hesāb kardan, ﺣﺴﺎب ﮐﺮدن
резервировать	rezerv kardan, رزرو ﮐﺮدن
рекомендовать	towsie kardan, ﺗﻮﺻﯿﻪ ﮐﺮدن
ронять	andāxtan, اﻧﺪاﺧﺘﻦ
ругать	daʿvā kardan, دﻋﻮا ﮐﺮدن
руководить (чем-л.)	edāre kardan, اداره ﮐﺮدن
рыть	kandan, ﮐﻨﺪن
