понедельник	došanbe, دوﺷﻨﺒﻪ
вторник	se šanbe, ﺳﻪ ﺷﻨﺒﻪ
среда	čāhāršanbe, ﭼﻬﺎرﺷﻨﺒﻪ
четверг	panj šanbe, ﭘﻨﺞ ﺷﻨﺒﻪ
пятница	jomʿe, ﺟﻤﻌﻪ
суббота	šanbe, ﺷﻨﺒﻪ
воскресенье	yek šanbe, ﯾﮏ ﺷﻨﺒﻪ
сегодня	emruz, اﻣﺮوز
завтра	fardā, ﻓﺮدا
послезавтра	pas fardā, ﭘﺲ ﻓﺮدا
вчера	diruz, دﯾﺮوز
позавчера	pariruz, ﭘﺮﯾﺮوز
день	ruz, روز
рабочий день	ruz-e kāri, روز ﮐﺎری
праздничный день	ruz-e jašn, روز ﺟﺸﻦ
выходной день	ruz-e taʿtil, روز ﺗﻌﻄﯿﻞ
выходные	āxar-e hafte, آﺧﺮ ﻫﻔﺘﻪ
весь день	tamām-e ruz, ﺗﻤﺎم روز
на следующий день	ruz-e baʿd, روز ﺑﻌﺪ
2 дня назад	do ruz-e piš, دو روز ﭘﯿﺶ
накануне	ruz-e qabl, روز ﻗﺒﻞ
ежедневный	ruzāne, روزاﻧﻪ
ежедневно	har ruz, ﻫﺮ روز
неделя	hafte, ﻫﻔﺘﻪ
на прошлой неделе	hafte-ye gozašte, ﻫﻔﺘﻪ ﮔﺬﺷﺘﻪ
на следующей неделе	hafte-ye āyande, ﻫﻔﺘﻪ آﯾﻨﺪه
еженедельный	haftegi, ﻫﻔﺘﮕﯽ
еженедельно	har hafte, ﻫﺮ ﻫﻔﺘﻪ
2 раза в неделю	do bār dar hafte, دو ﺑﺎر درﻫﻔﺘﻪ
каждый вторник	har sešanbe, ﻫﺮ ﺳﻪ ﺷﻨﺒﻪ
