перчатки	dastkeš, دﺳﺘﮑﺶ
варежки	dastkeš-e yek angošti, دﺳﺘﮑﺶ ﯾﮏ اﻧﮕﺸﺘﯽ
шарф	šāl-e gardan, ﺷﺎل ﮔﺮدن
очки	eynak, ﻋﯿﻨﮏ
оправа	qāb, ﻗﺎب
зонт	čatr, ﭼﺘﺮ
трость	asā, ﻋﺼﺎ
щётка для волос	bores-e mu, ﺑﺮس ﻣﻮ
веер	bādbezan, ﺑﺎدﺑﺰن
галстук	kerāvāt, ﮐﺮاوات
галстук-бабочка	pāpiyon, ﭘﺎﭘﯿﻮن
подтяжки	band šalvār, ﺑﻨﺪ ﺷﻠﻮار
носовой платок	dastmāl, دﺳﺘﻤﺎل
расчёска	šāne, ﺷﺎﻧﻪ
заколка	sanjāq-e mu, ﺳﻨﺠﺎق ﻣﻮ
шпилька	sanjāq-e mu, ﺳﻨﺠﺎق ﻣﻮ
пряжка	sagak, ﺳﮕﮏ
пояс (ремень)	kamarband, ﮐﻤﺮﺑﻨﺪ
ремень (сумки)	tasme, ﺗﺴﻤﻪ
сумка	keyf, ﮐﯿﻒ
сумочка (женская)	keyf-e zanāne, ﮐﯿﻒ زﻧﺎﻧﻪ
рюкзак	kule pošti, ﮐﻮﻟﮥ ﭘﺸﺘﯽ
