Где?	kojā?, ﮐﺠﺎ؟
здесь	in jā, اﯾﻦ ﺟﺎ
там	ānjā, آﻧﺠﺎ
где-то	jā-yi, ﺟﺎﯾﯽ
нигде	hič kojā, ﻫﯿﭻ ﮐﺠﺎ
у … (около)	nazdik, ﻧﺰدﯾﮏ
у окна	nazdik panjere, ﻧﺰدﯾﮏ ﭘﻨﺠﺮه
Куда?	kojā?, ﮐﺠﺎ؟
сюда	in jā, اﯾﻦ ﺟﺎ
туда	ānjā, آﻧﺠﺎ
отсюда	az injā, از اﯾﻨﺠﺎ
оттуда	az ānjā, از آﻧﺠﺎ
близко	nazdik, ﻧﺰدﯾﮏ
далеко	dur, دور
около (рядом)	nazdik, ﻧﺰدﯾﮏ
рядом (недалеко)	nazdik, ﻧﺰدﯾﮏ
недалеко (ехать, идти)	nazdik, ﻧﺰدﯾﮏ
левый	čap, ﭼﭗ
слева	dast-e čap, دﺳﺖ ﭼﭗ
налево	be čap, ﺑﻪ ﭼﭗ
правый	rāst, راﺳﺖ
справа	dast-e rāst, دﺳﺖ راﺳﺖ
направо	be rāst, ﺑﻪ راﺳﺖ
спереди	jelo, ﺟﻠﻮ
передний	jelo, ﺟﻠﻮ
вперёд (движение)	jelo, ﺟﻠﻮ
сзади (находиться)	aqab, ﻋﻘﺐ
сзади (подойти)	az aqab, از ﻋﻘﺐ
назад (движение)	aqab, ﻋﻘﺐ
середина	vasat, وﺳﻂ
посередине	dar vasat, در وﺳﻂ
сбоку (со стороны)	pahlu, ﭘﻬﻠﻮ
везде	hame jā, ﻫﻤﻪ ﺟﺎ
вокруг	atrāf, اﻃﺮاف
изнутри	az daxel, از داﺧﻞ
куда-то	jā-yi, ﺟﺎﯾﯽ
напрямик	mostaqim, ﻣﺴﺘﻘﯿﻢ
обратно	aqab, ﻋﻘﺐ
откуда-нибудь	az har jā, از ﻫﺮ ﺟﺎ
откуда-то	az yek jā-yi, از ﯾﮏ ﺟﺎﯾﯽ
во-первых	avvalan, اوﻻً
во-вторых	dumā, دوﻣﺎ
в-третьих	sālesan, ﺛﺎﻟﺜﺎً
вдруг	nāgahān, ﻧﺎﮔﻬﺎن
вначале	dar avval, در اول
впервые	barā-ye avvalin bār, ﺑﺮای اوﻟﯿﻦ ﺑﺎر
задолго до …	xeyli vaqt piš, ﺧﯿﻠﯽ وﻗﺖ ﭘﯿﺶ
заново	az now, از ﻧﻮ
насовсем	barā-ye hamiše, ﺑﺮای ﻫﻤﯿﺸﻪ
никогда	hič vaqt, ﻫﯿﭻ وﻗﺖ
опять	dobāre, دوﺑﺎره
теперь	alān, اﻻن
часто	aqlab, اﻏﻠﺐ
тогда	ān vaqt, آن وﻗﺖ
срочно	foran, ﻓﻮراً
обычно	maʿmulan, ﻣﻌﻤﻮﻻً
кстати, …	rāst-i, راﺳﺘﯽ
возможно	momken ast, ﻣﻤﮑﻦ اﺳﺖ
вероятно	ehtemālan, اﺣﺘﻤﺎﻻً
может быть	šāyad, ﺷﺎﯾﺪ
кроме того, …	bealāve, ﺑﻌﻼوه
поэтому …	be hamin xāter, ﺑﻪ ﻫﻤﯿﻦ ﺧﺎﻃﺮ
несмотря на …	alāraqm, ﻋﻠﯿﺮﻏﻢ
благодаря …	be lotf, ﺑﻪ ﻟﻄﻒ
что (местоимение)	če?, ﭼﻪ؟
что (союз)	ke, ﮐﻪ
что-то	yek čiz-i, ﯾﮏ ﭼﯿﺰی
что-нибудь	yek kāri, ﯾﮏ ﮐﺎری
ничего	hič čiz, ﻫﯿﭻ ﭼﯿﺰ
кто	ki, ﮐﯽ
кто-то	yek kas-i, ﯾﮏ ﮐﺴﯽ
кто-нибудь	yek kas-i, ﯾﮏ ﮐﺴﯽ
никто	hič kas, ﻫﯿﭻ ﮐﺲ
никуда	hič kojā, ﻫﯿﭻ ﮐﺠﺎ
ничей	māl-e hičkas, ﻣﺎل ﻫﯿﭻ ﮐﺲ
чей-нибудь	har kas-i, ﻫﺮ ﮐﺴﯽ
так	xeyli, ﺧﯿﻠﯽ
также	ham, ﻫﻢ
тоже	ham, ﻫﻢ
Почему?	čerā?, ﭼﺮا؟
почему-то	be dalil-i, ﺑﻪ دﻟﯿﻠﯽ
потому, что …	čon, ﭼﻮن
зачем-то	barā-ye maqsudi, ﺑﺮای ﻣﻘﺼﻮدی
и	va, و
или	yā, ﯾﺎ
но	ammā, اﻣﺎ
для (предлог)	barā-ye, ﺑﺮای
слишком	besyār, ﺑﺴﯿﺎر
только	faqat, ﻓﻘﻂ
точно	daqiqan, دﻗﯿﻘﺎ
около (~ 10 кг)	taqriban, ﺗﻘﺮﯾﺒﺎً
приблизительно	taqriban, ﺗﻘﺮﯾﺒﺎً
приблизительный	taqribi, ﺗﻘﺮﯾﺒﯽ
почти	taqriban, ﺗﻘﺮﯾﺒﺎً
остальное	baqiye, ﺑﻘﯿﻪ
другой (второй)	digar, دﯾﮕﺮ
другой (иной)	digar, دﯾﮕﺮ
каждый	har, ﻫﺮ
любой	har, ﻫﺮ
много	ziyād, زﯾﺎد
многие	besyāri, ﺑﺴﯿﺎری
все (все люди)	hame, ﻫﻤﻪ
в обмен на …	dar avaz, در ﻋﻮض
взамен	dar barābar, در ﺑﺮاﺑﺮ
вручную	dasti, دﺳﺘﯽ
вряд ли	baid ast, ﺑﻌﯿﺪ اﺳﺖ
наверное (вероятно)	ehtemālan, اﺣﺘﻤﺎﻻً
нарочно	amdan, ﻋﻤﺪاً
случайно	tasādofi, ﺗﺼﺎدﻓﯽ
очень	besyār, ﺑﺴﯿﺎر
например	masalan, ﻣﺜﻼً
между	beyn, ﺑﯿﻦ
среди	miyān, ﻣﯿﺎن
столько	in qadr, اﯾﻦ ﻗﺪر
особенно	maxsusan, ﻣﺨﺼﻮﺻﺎً
