овощи	sabzijāt, ﺳﺒﺰﯾﺠﺎت
зелень	sabzi, ﺳﺒﺰی
помидор	gowje farangi, ﮔﻮﺟﻪ ﻓﺮﻧﮕﯽ
огурец	xiyār, ﺧﯿﺎر
морковь	havij, ﻫﻮﯾﺞ
картофель	sib zamini, ﺳﯿﺐ زﻣﯿﻨﯽ
лук (луковица)	piyāz, ﭘﯿﺎز
чеснок	sir, ﺳﯿﺮ
капуста	kalam, ﮐﻠﻢ
цветная капуста	gol kalam, ﮔﻞ ﮐﻠﻢ
брюссельская капуста	koll-am boruksel, ﮐﻠﻢ ﺑﺮوﮐﺴﻞ
капуста брокколи	kalam borokli, ﮐﻠﻢ ﺑﺮوﮐﻠﯽ
свёкла	čoqondar, ﭼﻐﻨﺪر
баклажан	bādenjān, ﺑﺎدﻧﺠﺎن
кабачок	kadu sabz, ﮐﺪو ﺳﺒﺰ
тыква	kadu tanbal, ﮐﺪو ﺗﻨﺒﻞ
репа	šalqam, ﺷﻠﻐﻢ
петрушка	jaʿfari, ﺟﻌﻔﺮی
укроп	šavid, ﺷﻮﯾﺪ
салат (латук)	kāhu, ﮐﺎﻫﻮ
сельдерей	karafs, ﮐﺮﻓﺲ
спаржа	mārčube, ﻣﺎرﭼﻮﺑﻪ
шпинат	esfenāj, اﺳﻔﻨﺎج
горох	noxod, ﻧﺨﻮد
бобы	lubiyā, ﻟﻮﺑﯿﺎ
кукуруза	zorrat, ذرت
фасоль	lubiyā qermez, ﻟﻮﺑﯿﺎ ﻗﺮﻣﺰ
перец	felfel, ﻓﻠﻔﻞ
редис	torobče, ﺗﺮﺑﭽﻪ
артишок	kangar farangi, ﮐﻨﮕﺮﻓﺮﻧﮕﯽ
