фрукт	mive, ﻣﯿﻮه
яблоко	sib, ﺳﯿﺐ
груша	golābi, ﮔﻼﺑﯽ
лимон	limu, ﻟﯿﻤﻮ
апельсин	porteqāl, ﭘﺮﺗﻘﺎل
клубника	tut-e farangi, ﺗﻮت ﻓﺮﻧﮕﯽ
мандарин	nārengi, ﻧﺎرﻧﮕﯽ
слива	ālu, آﻟﻮ
персик	holu, ﻫﻠﻮ
абрикос	zardālu, زردآﻟﻮ
малина	tamešk, ﺗﻤﺸﮏ
ананас	ānānās, آﻧﺎﻧﺎس
банан	mowz, ﻣﻮز
арбуз	hendevāne, ﻫﻨﺪواﻧﻪ
виноград	angur, اﻧﮕﻮر
вишня	ālbālu, آﻟﺒﺎﻟﻮ
черешня	gilās, ﮔﯿﻼس
дыня	xarboze, ﺧﺮﺑﺰه
грейпфрут	gerip forut, ﮔﺮﯾﭗ ﻓﻮروت
авокадо	āvokādo, اووﮐﺎدو
папайя	pāpāyā, ﭘﺎﭘﺎﯾﺎ
манго	anbe, اﻧﺒﻪ
гранат	anār, اﻧﺎر
красная смородина	angur-e farangi-ye sorx, اﻧﮕﻮر ﻓﺮﻧﮕﯽ ﺳﺮخ
чёрная смородина	angur-e farangi-ye siyāh, اﻧﮕﻮر ﻓﺮﻧﮕﯽ ﺳﯿﺎه
крыжовник	angur-e farangi, اﻧﮕﻮر ﻓﺮﻧﮕﯽ
черника	zoqāl axte, زﻏﺎل اﺧﺘﻪ
ежевика	šāh tut, ﺷﺎه ﺗﻮت
изюм	kešmeš, ﮐﺸﻤﺶ
инжир	anjir, اﻧﺠﯿﺮ
финик	xormā, ﺧﺮﻣﺎ
арахис	bādām zamin-i, ﺑﺎدام زﻣﯿﻨﻰ
миндаль	bādām, ﺑﺎدام
орех (грецкий)	gerdu, ﮔﺮدو
орех (лесной)	fandoq, ﻓﻨﺪق
орех кокосовый	nārgil, ﻧﺎرﮔﯿﻞ
фисташки	peste, ﭘﺴﺘﻪ
