голова	sar, ﺳﺮ
лицо	surat, ﺻﻮرت
нос	bini, ﺑﯿﻨﯽ
рот	dahān, دﻫﺎن
глаз	češm, ﭼﺸﻢ
глаза	češm-hā, ﭼﺸﻢ ﻫﺎ
зрачок	mardomak, ﻣﺮدﻣﮏ
бровь	abru, اﺑﺮو
ресница	može, ﻣﮋه
веко	pelek, ﭘﻠﮏ
язык	zabān, زﺑﺎن
зуб	dandān, دﻧﺪان
губы	lab-hā, ﻟﺐ ﻫﺎ
скулы	ostexānhā-ye gune, اﺳﺘﺨﻮان ﻫﺎی ﮔﻮﻧﻪ
десна	lase, ﻟﺜﻪ
нёбо	saqf-e dahān, ﺳﻘﻒ دﻫﺎن
ноздри	surāxhā-ye bini, ﺳﻮراخ ﻫﺎی ﺑﯿﻨﯽ
подбородок	čāne, ﭼﺎﻧﻪ
челюсть	fak, ﻓﮏ
щека	gune, ﮔﻮﻧﻪ
лоб	pišāni, ﭘﯿﺸﺎﻧﯽ
висок	gijgāh, ﮔﯿﺠﮕﺎه
ухо	guš, ﮔﻮش
затылок	pas gardan, ﭘﺲ ﮔﺮدن
шея	gardan, ﮔﺮدن
горло	galu, ﮔﻠﻮ
волосы	mu-hā, ﻣﻮ ﻫﺎ
причёска	model-e mu, ﻣﺪل ﻣﻮ
стрижка (причёска)	model-e mu, ﻣﺪل ﻣﻮ
парик	kolāh-e gis, ﮐﻼه ﮔﯿﺲ
усы	sebil, ﺳﺒﯿﻞ
борода	riš, رﯾﺶ
носить (усы, бороду)	gozāštan, ﮔﺬاﺷﺘﻦ
коса	muy-ye bāfte, ﻣﻮی ﺑﺎﻓﺘﻪ
бакенбарды	xatt-e riš, ﺧﻂ رﯾﺶ
рыжий (человек)	muqermez, ﻣﻮﻗﺮﻣﺰ
седой (о волосах)	sefid-e mu, ﺳﻔﯿﺪ ﻣﻮ
лысый	tās, ﻃﺎس
лысина	tāsi, ﻃﺎﺳﯽ
хвост (причёска)	dom-e asbi, دم اﺳﺒﯽ
чёлка	čatri, ﭼﺘﺮی
