кисть	dast, دﺳﺖ
рука (вся)	bāzu, ﺑﺎزو
палец	angošt, اﻧﮕﺸﺖ
палец (ноги)	šast-e pā, ﺷﺼﺖ ﭘﺎ
большой палец	šost, ﺷﺴﺖ
мизинец	angošt-e kučak, اﻧﮕﺸﺖ ﮐﻮﭼﮏ
ноготь	nāxon, ﻧﺎﺧﻦ
кулак	mošt, ﻣﺸﺖ
ладонь	kaf-e dast, ﮐﻒ دﺳﺖ
запястье	moč-e dast, ﻣﭻ دﺳﺖ
предплечье	sāʿed, ﺳﺎﻋﺪ
локоть	āranj, آرﻧﺞ
плечо	ketf, ﮐﺘﻒ
нога (выше ступни)	pā, ﭘﺎ
ступня	pā, ﭘﺎ
колено	zānu, زاﻧﻮ
икра	sāq, ﺳﺎق
бедро	rān, ران
пятка	pāšne-ye pā, ﭘﺎﺷﻨﮥ ﭘﺎ
тело	badan, ﺑﺪن
живот	šekam, ﺷﮑﻢ
грудь	sine, ﺳﯿﻨﻪ
грудь (женская)	sine, ﺳﯿﻨﻪ
бок	pahlu, ﭘﻬﻠﻮ
спина	pošt, ﭘﺸﺖ
поясница	kamar, ﮐﻤﺮ
талия	dur-e kamar, دور ﮐﻤﺮ
пупок	nāf, ﻧﺎف
ягодицы	nešiman-e gāh, ﻧﺸﯿﻤﻦ ﮔﺎه
зад	bāsan, ﺑﺎﺳﻦ
родинка	xāl, ﺧﺎل
родимое пятно	xāl-e mādarzād, ﺧﺎل ﻣﺎدرزاد
татуировка	xāl kubi, ﺧﺎل ﮐﻮﺑﯽ
шрам	jā-ye zaxm, ﺟﺎی زﺧﻢ
