боль	dard, درد
заноза	xār, ﺧﺎر
пот	araq, ﻋﺮق
потеть	araq kardan, ﻋﺮق ﮐﺮدن
рвота	estefrāq, اﺳﺘﻔﺮاغ
судороги	tašannoj, ﺗﺸﻨﺞ
беременная	bārdār, ﺑﺎردار
родиться	motevalled šodan, ﻣﺘﻮﻟﺪ ﺷﺪن
роды	vazʿ-e haml, وﺿﻊ ﺣﻤﻞ
рожать	be donyā āvardan, ﺑﻪ دﻧﯿﺎ آوردن
аборт	seqt-e janin, ﺳﻘﻂ ﺟﻨﯿﻦ
дыхание	tanaffos, ﺗﻨﻔﺲ
вдох	estenšāq, اﺳﺘﻨﺸﺎق
выдох	bāzdam, ﺑﺎزدم
выдохнуть	bāzdamidan, ﺑﺎزدﻣﯿﺪن
вдыхать	nafas kešidan, ﻧﻔﺲ ﮐﺸﯿﺪن
инвалид	maʿlul, ﻣﻌﻠﻮل
калека	falaj, ﻓﻠﺞ
наркоман	moʿtād, ﻣﻌﺘﺎد
глухой	kar, ﮐﺮ
немой	lāl, ﻻل
глухонемой	kar-o lāl, ﮐﺮ و ﻻل
сумасшедший(прил.)	divāne, دﯾﻮاﻧﻪ
сумасшедший(сущ.)	divāne, دﯾﻮاﻧﻪ
сумасшедшая(сущ.)	divāne, دﯾﻮاﻧﻪ
сойти с ума	divāne šodan, دﯾﻮاﻧﻪ ﺷﺪن
ген	žen, ژن
иммунитет	masuniyat, ﻣﺼﻮﻧﯿﺖ
наследственный	mowrusi, ﻣﻮروﺛﯽ
врождённый	mādarzād, ﻣﺎدرزاد
вирус	virus, وﯾﺮوس
микроб	mikrob, ﻣﯿﮑﺮوب
бактерия	bākteri, ﺑﺎﮐﺘﺮی
инфекция	ofunat, ﻋﻔﻮﻧﺖ
