больница	bimārestān, ﺑﯿﻤﺎرﺳﺘﺎن
пациент	bimār, ﺑﯿﻤﺎر
диагноз	tašxis, ﺗﺸﺨﯿﺺ
лечение	moʿāleje, ﻣﻌﺎﻟﺠﻪ
лечение (больных)	darmān, درﻣﺎن
лечиться	darmān šodan, درﻣﺎن ﺷﺪن
лечить (ухаживать)	moʾāleje kardan, ﻣﻌﺎﻟﺠﻪ ﮐﺮدن
ухаживать (за больным)	parastāri kardan, ﭘﺮﺳﺘﺎری ﮐﺮدن
уход (за больным)	parastāri, ﭘﺮﺳﺘﺎری
операция (мед.)	amal-e jarrāhi, ﻋﻤﻞ ﺟﺮاﺣﯽ
перевязать	pānsemān kardan, ﭘﺎﻧﺴﻤﺎن ﮐﺮدن
перевязка	pānsemān, ﭘﺎﻧﺴﻤﺎن
прививка	vāksināsyon, واﮐﺴﯿﻨﺎﺳﯿﻮن
делать прививку	vāksine kardan, واﮐﺴﯿﻨﻪ ﮐﺮدن
укол (мед.)	tazriq, ﺗﺰرﯾﻖ
делать укол (кому-л.)	tazriq kardan, ﺗﺰرﯾﻖ ﮐﺮدن
приступ, припадок	hamle, ﺣﻤﻠﻪ
ампутация	qatʿ-e ozv, ﻗﻄﻊ ﻋﻀﻮ
ампутировать	qatʿ kardan, ﻗﻄﻊ ﮐﺮدن
кома	komā, ﮐﻤﺎ
быть в коме	dar komā budan, در ﮐﻤﺎ ﺑﻮدن
реанимация	morāqebat-e viže, ﻣﺮاﻗﺒﺖ وﯾﮋه
выздоравливать	behbud yāftan, ﺑﻬﺒﻮد ﯾﺎﻓﺘﻦ
состояние (больного)	hālat, ﺣﺎﻟﺖ
сознание (мед.)	huš, ﻫﻮش
память	hāfeze, ﺣﺎﻓﻈﻪ
удалять (зуб)	dandān kešidan, دﻧﺪان ﮐﺸﯿﺪن
пломба (на зубах)	por kardan, ﭘﺮ ﮐﺮدن
пломбировать (зубы)	por kardan, ﭘﺮ ﮐﺮدن
гипноз	hipnotizm, ﻫﯿﭙﻨﻮﺗﯿﺰم
гипнотизировать	hipnotizm kardan, ﻫﯿﭙﻨﻮﺗﯿﺰم ﮐﺮدن
