0 ноль	sefr, ﺻﻔﺮ
1 один	yek, ﯾﮏ
2 два	do, دو
3 три	se, ﺳﻪ
4 четыре	čāhār, ﭼﻬﺎر
5 пять	panj, ﭘﻨﺞ
6 шесть	šeš, ﺷﺶ
7 семь	haft, ﻫﻔﺖ
8 восемь	hašt, ﻫﺸﺖ
9 девять	neh, ﻧﻪ
10 десять	dah, ده
11 одиннадцать	yāzdah, ﯾﺎزده
12 двенадцать	davāzdah, دوازده
13 тринадцать	sizdah, ﺳﯿﺰده
14 четырнадцать	čāhārdah, ﭼﻬﺎرده
15 пятнадцать	pānzdah, ﭘﺎﻧﺰده
16 шестнадцать	šānzdah, ﺷﺎﻧﺰده
17 семнадцать	hefdah, ﻫﻔﺪه
18 восемнадцать	hijdah, ﻫﯿﺠﺪه
19 девятнадцать	nuzdah, ﻧﻮزده
20 двадцать	bist, ﺑﯿﺴﺖ
21 двадцать один	bist-o yek, ﺑﯿﺴﺖ وﯾﮏ
22 двадцать два	bist-o do, ﺑﯿﺴﺖ ودو
23 двадцать три	bist-o se, ﺑﯿﺴﺖ وﺳﻪ
30 тридцать	si, ﺳﯽ
31 тридцать один	si-yo yek, ﺳﯽ وﯾﮏ
32 тридцать два	si-yo do, ﺳﯽ ودو
33 тридцать три	si-yo se, ﺳﯽ وﺳﻪ
40 сорок	čehel, ﭼﻬﻞ
41 сорок один	čehel-o yek, ﭼﻬﻞ وﯾﮏ
42 сорок два	čehel-o do, ﭼﻬﻞ ودو
43 сорок три	čehel-o se, ﭼﻬﻞ وﺳﻪ
50 пятьдесят	panjāh, ﭘﻨﺠﺎه
51 пятьдесят один	panjāh-o yek, ﭘﻨﺠﺎه وﯾﮏ
52 пятьдесят два	panjāh-o do, ﭘﻨﺠﺎه ودو
53 пятьдесят три	panjāh-o se, ﭘﻨﺠﺎه وﺳﻪ
60 шестьдесят	šast, ﺷﺼﺖ
61 шестьдесят один	šast-o yek, ﺷﺼﺖ وﯾﮏ
62 шестьдесят два	šast-o do, ﺷﺼﺖ ودو
63 шестьдесят три	šast-o se, ﺷﺼﺖ وﺳﻪ
70 семьдесят	haftād, ﻫﻔﺘﺎد
71 семьдесят один	haftād-o yek, ﻫﻔﺘﺎد وﯾﮏ
72 семьдесят два	haftād-o do, ﻫﻔﺘﺎد ودو
73 семьдесят три	haftād-o se, ﻫﻔﺘﺎد وﺳﻪ
80 восемьдесят	haštād, ﻫﺸﺘﺎد
81 восемьдесят один	haštād-o yek, ﻫﺸﺘﺎد وﯾﮏ
82 восемьдесят два	haštād-o do, ﻫﺸﺘﺎد ودو
83 восемьдесят три	haštād-o se, ﻫﺸﺘﺎد وﺳﻪ
90 девяносто	navad, ﻧﻮد
91 девяносто один	navad-o yek, ﻧﻮد وﯾﮏ
92 девяносто два	navad-o do, ﻧﻮد ودو
93 девяносто три	navad-o se, ﻧﻮد وﺳﻪ
100 сто	sad, ﺻﺪ
200 двести	devist, دوﯾﺴﺖ
300 триста	sisad, ﺳﯿﺼﺪ
400 четыреста	čāhārsad, ﭼﻬﺎرﺻﺪ
500 пятьсот	pānsad, ﭘﺎﻧﺼﺪ
600 шестьсот	šešsad, ﺷﺸﺼﺪ
700 семьсот	haftsad, ﻫﻔﺘﺼﺪ
800 восемьсот	haštsad, ﻫﺸﺘﺼﺪ
900 девятьсот	nohsad, ﻧﻬﺼﺪ
1000 тысяча	hezār, ﻫﺰار
2000 две тысячи	dohezār, دوﻫﺰار
3000 три тысячи	se hezār, ﺳﻪ ﻫﺰار
10000 десять тысяч	dah hezār, ده ﻫﺰار
100000 сто тысяч	sad hezār, ﺻﺪ ﻫﺰار
миллион	milyun, ﻣﯿﻠﯿﻮن
миллиард	milyārd, ﻣﯿﻠﯿﺎرد
первый	avvalin, اوﻟﯿﻦ
второй	dovvomin, دوﻣﯿﻦ
третий	sevvomin, ﺳﻮﻣﯿﻦ
четвёртый	čāhāromin, ﭼﻬﺎرﻣﯿﻦ
пятый	panjomin, ﭘﻨﺠﻤﯿﻦ
шестой	šešomin, ﺷﺸﻤﯿﻦ
седьмой	haftomin, ﻫﻔﺘﻤﯿﻦ
восьмой	haštomin, ﻫﺸﺘﻤﯿﻦ
девятый	nohomin, ﻧﻬﻤﯿﻦ
десятый	dahomin, دﻫﻤﯿﻦ
