гора	kuh, ﮐﻮه
горная цепь	rešte-ye kuh, رﺷﺘﻪ ﮐﻮه
горный хребет	selsele-ye jebāl, ﺳﻠﺴﻠﻪ ﺟﺒﺎل
вершина	qolle, ﻗﻠﻪ
пик	qolle, ﻗﻠﻪ
подножие (горы)	dāmane-ye kuh, داﻣﻨﮥ ﮐﻮه
склон	šib, ﺷﯿﺐ
вулкан	ātaš-fešān, آﺗﺸﻔﺸﺎن
действующий вулкан	ātaš-fešān-e faʿāl, آﺗﺶ ﻓﺸﺎن ﻓﻌﺎل
потухший вулкан	ātaš-fešān-e xāmuš, آﺗﺶ ﻓﺸﺎن ﺧﺎﻣﻮش
извержение	favarān, ﻓﻮران
кратер	dahāne-ye ātašfešān, دﻫﺎﻧﮥ آﺗﺶ ﻓﺸﺎن
магма	māgmā, ﻣﺎﮔﻤﺎ
лава	godāze, ﮔﺪازه
раскалённый	godāxte, ﮔﺪاﺧﺘﻪ
каньон	tange, ﺗﻨﮕﻪ
ущелье	darre-ye tang, دره ﺗﻨﮓ
расщелина	tange, ﺗﻨﮕﻪ
прóпасть, обрыв	partgāh, ﭘﺮﺗﮕﺎه
перевал	gozargāh, ﮔﺬرﮔﺎه
плато	falāt, ﻓﻼت
скала	saxre, ﺻﺨﺮه
холм	tappe, ﺗﭙﻪ
ледник	yaxčāl, ﯾﺨﭽﺎل
водопад	ābšār, آﺑﺸﺎر
гейзер	češme-ye āb-e garm, ﭼﺸﻤﮥ آب ﮔﺮم
озеро	daryāče, درﯾﺎﭼﻪ
равнина	jolge, ﺟﻠﮕﻪ
пейзаж	manzare, ﻣﻨﻈﺮه
эхо	enʿekās-e sowt, اﻧﻌﮑﺎس ﺻﻮت
альпинист	kuhnavard, ﮐﻮﻫﻨﻮرد
скалолаз	saxre-ye navard, ﺻﺨﺮه ﻧﻮرد
покорять	fath kardan, ﻓﺘﺢ ﮐﺮدن
восхождение	soʿud, ﺻﻌﻮد
